HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
10,True,45-54,Single,35-49K,Homeowner,1 Adult,1,null
29,True,55-64,Married,100-150K,Homeowner,2 Adults and Kids,3,1
53,True,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3,1
54,True,75+,Married,UNDER 35K,Homeowner,2 Adults,2,null
60,True,45-54,Married,35-49K,Homeowner,2 Adults and Kids,5+,3+
81,False,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3,1
92,True,55-64,Married,75-99K,Homeowner,2 Adults and Kids,3,1
99,True,35-44,Married,75-99K,Homeowner,2 Adults and Kids,3,1
115,True,35-44,Married,35-49K,Homeowner,2 Adults and Kids,5+,3+
117,True,45-54,Single,150K+,Homeowner,1 Adult and Kids,5+,3+
136,True,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3,1
139,True,55-64,Single,35-49K,Renter,Single Female,1,null
151,False,45-54,Single,150K+,Homeowner,1 Adult,1,null
159,True,null,null,null,null,null,null,null
160,True,45-54,Married,100-150K,Homeowner,2 Adults and Kids,4,2
172,True,75+,Single,UNDER 35K,Homeowner,1 Adult,1,null
183,True,35-44,Single,50-74K,Homeowner,1 Adult and Kids,2,1
184,True,55-64,Married,35-49K,Renter,2 Adults and Kids,3,1
185,True,45-54,Married,100-150K,Homeowner,2 Adults and Kids,3,1
186,False,45-54,Married,100-150K,Homeowner,2 Adults and Kids,3,1
196,True,35-44,Married,50-74K,Renter,2 Adults and Kids,3,1
210,True,null,null,null,null,null,null,null
225,False,65-74,Single,35-49K,Homeowner,Single Female,1,null
242,False,55-64,Single,50-74K,null,1 Adult and Kids,2,1
264,True,35-44,null,UNDER 35K,Homeowner,2 Adults,2,null
308,True,65-74,Single,50-74K,Homeowner,Single Female,1,null
361,False,55-64,Married,100-150K,Homeowner,2 Adults and Kids,3,1
401,True,55-64,Single,35-49K,Homeowner,1 Adult and Kids,2,1
