PRODUCT_NUM,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
7,NON-FOOD,PERSONAL CARE,NATIONAL,N
201,FOOD,BEVERAGE - NON WATER,NATIONAL,N
542,FOOD,ALCOHOL,NATIONAL,N
543,FOOD,ALCOHOL,NATIONAL,N
2222,NON-FOOD,FLORAL,NATIONAL,N
2638,FOOD,IN STORE FOOD SERVICE,NATIONAL,N
4306,NON-FOOD,FLORAL,NATIONAL,N
5325,NON-FOOD,PERSONAL CARE,NATIONAL,N
5864,FOOD,INTERNATIONAL FOOD,NATIONAL,N
6278,FOOD,GROCERY STAPLE,NATIONAL,N
6284,FOOD,INTERNATIONAL FOOD,NATIONAL,N
6437,FOOD,IN STORE FOOD SERVICE,NATIONAL,N
6516,FOOD,GROCERY STAPLE,PRIVATE,N
6518,FOOD,GROCERY STAPLE,PRIVATE,N
6522,FOOD,GROCERY STAPLE,PRIVATE,N
6524,FOOD,GROCERY STAPLE,PRIVATE,N
6527,FOOD,GROCERY STAPLE,PRIVATE,N
6530,FOOD,BAKERY,PRIVATE,N
6532,FOOD,BAKERY,PRIVATE,N
6533,FOOD,BAKERY,PRIVATE,N
6542,FOOD,BAKERY,PRIVATE,N
6552,FOOD,GROCERY STAPLE,PRIVATE,N
6553,FOOD,GROCERY STAPLE,PRIVATE,N
6579,FOOD,BAKERY,PRIVATE,N
6583,FOOD,IN STORE FOOD SERVICE,NATIONAL,N
6705,FOOD,GROCERY STAPLE,PRIVATE,N
6707,FOOD,GROCERY STAPLE,PRIVATE,N
6712,FOOD,GROCERY STAPLE,PRIVATE,N
6747,FOOD,IN STORE FOOD SERVICE,NATIONAL,N
6814,FOOD,BEVERAGE - WATER,PRIVATE,N
6827,FOOD,BAKERY,PRIVATE,N
6932,FOOD,INTERNATIONAL FOOD,NATIONAL,N
7321,FOOD,IN STORE FOOD SERVICE,NATIONAL,N
7359,FOOD,IN STORE FOOD SERVICE,NATIONAL,N
7480,FOOD,PRODUCE,NATIONAL,N
7491,FOOD,PRODUCE,NATIONAL,N
7506,FOOD,PRODUCE,NATIONAL,N
7514,FOOD,PRODUCE,NATIONAL,N
7529,FOOD,PRODUCE,NATIONAL,N
7565,FOOD,PRODUCE,NATIONAL,N
7570,FOOD,PRODUCE,NATIONAL,N
7577,FOOD,PRODUCE,NATIONAL,N
7579,FOOD,PRODUCE,NATIONAL,N
7592,FOOD,PRODUCE,NATIONAL,N
7594,FOOD,PRODUCE,NATIONAL,N
7618,FOOD,PRODUCE,NATIONAL,N
7657,FOOD,PRODUCE,NATIONAL,N
7658,FOOD,PRODUCE,NATIONAL,N
7689,FOOD,PRODUCE,NATIONAL,N
7692,FOOD,PRODUCE,NATIONAL,N
7695,FOOD,PRODUCE,NATIONAL,N
7698,FOOD,PRODUCE,NATIONAL,N
7704,FOOD,PRODUCE,NATIONAL,N
7707,FOOD,PRODUCE,NATIONAL,N
7714,FOOD,PRODUCE,NATIONAL,N
7717,FOOD,PRODUCE,NATIONAL,N
7719,FOOD,PRODUCE,NATIONAL,N
7723,FOOD,PRODUCE,NATIONAL,N
7736,FOOD,PRODUCE,NATIONAL,N
7741,FOOD,PRODUCE,NATIONAL,N
7745,FOOD,PRODUCE,NATIONAL,N
7750,FOOD,PRODUCE,NATIONAL,N
7762,FOOD,PRODUCE,NATIONAL,N
7788,FOOD,PRODUCE,NATIONAL,N
7817,FOOD,PRODUCE,NATIONAL,N
7824,FOOD,PRODUCE,NATIONAL,N
7829,FOOD,PRODUCE,NATIONAL,N
7830,FOOD,PRODUCE,NATIONAL,N
7832,FOOD,PRODUCE,NATIONAL,N
7837,FOOD,PRODUCE,NATIONAL,N
7849,FOOD,PRODUCE,NATIONAL,N
7850,FOOD,PRODUCE,NATIONAL,N
7889,FOOD,PRODUCE,NATIONAL,N
7937,FOOD,PRODUCE,NATIONAL,N
7954,FOOD,PRODUCE,NATIONAL,N
8020,FOOD,PRODUCE,NATIONAL,N
8066,FOOD,PRODUCE,NATIONAL,N
8070,FOOD,PRODUCE,NATIONAL,N
8100,FOOD,PRODUCE,NATIONAL,N
8103,FOOD,PRODUCE,NATIONAL,N
8116,FOOD,PRODUCE,NATIONAL,N
8118,FOOD,PRODUCE,NATIONAL,N
8120,FOOD,PRODUCE,NATIONAL,N
8122,FOOD,PRODUCE,NATIONAL,N
8125,FOOD,PRODUCE,NATIONAL,N
8137,FOOD,PRODUCE,NATIONAL,N
8140,FOOD,PRODUCE,NATIONAL,N
8152,FOOD,PRODUCE,NATIONAL,N
8261,FOOD,PRODUCE,NATIONAL,N
8263,FOOD,PRODUCE,NATIONAL,N
8269,FOOD,PRODUCE,NATIONAL,N
8276,FOOD,PRODUCE,NATIONAL,N
8277,FOOD,PRODUCE,NATIONAL,N
8280,FOOD,PRODUCE,NATIONAL,N
8383,FOOD,PRODUCE,NATIONAL,N
8436,FOOD,PRODUCE,NATIONAL,N
8437,FOOD,PRODUCE,NATIONAL,N
8438,FOOD,PRODUCE,NATIONAL,N
8439,FOOD,PRODUCE,NATIONAL,N
8440,FOOD,PRODUCE,NATIONAL,N
8441,FOOD,PRODUCE,NATIONAL,N
8442,FOOD,PRODUCE,NATIONAL,N
8445,FOOD,PRODUCE,NATIONAL,N
8446,FOOD,PRODUCE,NATIONAL,N
8447,FOOD,PRODUCE,NATIONAL,N
8448,FOOD,PRODUCE,NATIONAL,N
8449,FOOD,PRODUCE,NATIONAL,N
8451,FOOD,PRODUCE,NATIONAL,N
8452,FOOD,PRODUCE,NATIONAL,N
8455,FOOD,PRODUCE,NATIONAL,N
8456,FOOD,PRODUCE,NATIONAL,N
8457,FOOD,PRODUCE,NATIONAL,N
8458,FOOD,PRODUCE,NATIONAL,N
8459,FOOD,PRODUCE,NATIONAL,N
8460,FOOD,PRODUCE,NATIONAL,N
8461,FOOD,PRODUCE,NATIONAL,N
8463,FOOD,PRODUCE,NATIONAL,N
8464,FOOD,PRODUCE,NATIONAL,N
8465,FOOD,PRODUCE,NATIONAL,N
8466,FOOD,PRODUCE,NATIONAL,N
8467,FOOD,PRODUCE,NATIONAL,N
8469,FOOD,PRODUCE,NATIONAL,N
8470,FOOD,PRODUCE,NATIONAL,N
8471,FOOD,PRODUCE,NATIONAL,N
8473,FOOD,PRODUCE,NATIONAL,N
8474,FOOD,PRODUCE,NATIONAL,N
8475,FOOD,PRODUCE,NATIONAL,N
8476,FOOD,PRODUCE,NATIONAL,N
8477,FOOD,PRODUCE,NATIONAL,N
8478,FOOD,PRODUCE,NATIONAL,N
8480,FOOD,PRODUCE,NATIONAL,N
8481,FOOD,PRODUCE,NATIONAL,N
8485,FOOD,PRODUCE,NATIONAL,N
8486,FOOD,PRODUCE,NATIONAL,N
8487,FOOD,PRODUCE,NATIONAL,N
8488,FOOD,PRODUCE,NATIONAL,N
8489,FOOD,PRODUCE,NATIONAL,N
8490,FOOD,PRODUCE,NATIONAL,N
8491,FOOD,PRODUCE,NATIONAL,N
8492,FOOD,PRODUCE,NATIONAL,N
8493,FOOD,PRODUCE,NATIONAL,N
8494,FOOD,PRODUCE,NATIONAL,N
8495,FOOD,PRODUCE,NATIONAL,N
8496,FOOD,PRODUCE,NATIONAL,N
8497,FOOD,PRODUCE,NATIONAL,N
8498,FOOD,PRODUCE,NATIONAL,N
8499,FOOD,PRODUCE,NATIONAL,N
8500,FOOD,PRODUCE,NATIONAL,N
8501,FOOD,PRODUCE,NATIONAL,N
8502,FOOD,PRODUCE,NATIONAL,N
8503,FOOD,PRODUCE,NATIONAL,N
8504,FOOD,PRODUCE,NATIONAL,N
8505,FOOD,PRODUCE,NATIONAL,N
8506,FOOD,PRODUCE,NATIONAL,N
8507,FOOD,PRODUCE,NATIONAL,N
8508,FOOD,PRODUCE,NATIONAL,N
8509,FOOD,PRODUCE,NATIONAL,N
8510,FOOD,PRODUCE,NATIONAL,N
8511,FOOD,PRODUCE,NATIONAL,N
8512,FOOD,PRODUCE,NATIONAL,N
8513,FOOD,PRODUCE,NATIONAL,N
8514,FOOD,PRODUCE,NATIONAL,N
8515,FOOD,PRODUCE,NATIONAL,N
8516,FOOD,PRODUCE,NATIONAL,N
8517,FOOD,PRODUCE,NATIONAL,N
8518,FOOD,PRODUCE,NATIONAL,N
8525,FOOD,PRODUCE,NATIONAL,N
8550,FOOD,PRODUCE,NATIONAL,N
8551,FOOD,PRODUCE,NATIONAL,N
8552,FOOD,PRODUCE,NATIONAL,N
8553,FOOD,PRODUCE,NATIONAL,N
8554,FOOD,PRODUCE,NATIONAL,N
8555,FOOD,PRODUCE,NATIONAL,N
8556,FOOD,PRODUCE,NATIONAL,N
8557,FOOD,PRODUCE,NATIONAL,N
8558,FOOD,PRODUCE,NATIONAL,N
8559,FOOD,PRODUCE,NATIONAL,N
8560,FOOD,PRODUCE,NATIONAL,N
8561,FOOD,PRODUCE,NATIONAL,N
8581,FOOD,PRODUCE,NATIONAL,N
8583,FOOD,PRODUCE,NATIONAL,N
8585,FOOD,PRODUCE,NATIONAL,N
8587,FOOD,PRODUCE,NATIONAL,N
8588,FOOD,PRODUCE,NATIONAL,N
8589,FOOD,PRODUCE,NATIONAL,N
8590,FOOD,PRODUCE,NATIONAL,N
8591,FOOD,PRODUCE,NATIONAL,N
8596,FOOD,PRODUCE,NATIONAL,N
8604,FOOD,PRODUCE,NATIONAL,N
8614,FOOD,IN STORE FOOD SERVICE,NATIONAL,N
8617,FOOD,PRODUCE,NATIONAL,N
8623,FOOD,PRODUCE,NATIONAL,N
8635,FOOD,PRODUCE,NATIONAL,N
8636,FOOD,PRODUCE,NATIONAL,N
8640,FOOD,PRODUCE,NATIONAL,N
8642,FOOD,PRODUCE,NATIONAL,N
8644,FOOD,PRODUCE,NATIONAL,N
8650,FOOD,PRODUCE,NATIONAL,N
8651,FOOD,PRODUCE,NATIONAL,N
8653,FOOD,PRODUCE,NATIONAL,N
8669,FOOD,PRODUCE,NATIONAL,N
8670,FOOD,PRODUCE,NATIONAL,N
8671,FOOD,PRODUCE,NATIONAL,N
8672,FOOD,PRODUCE,NATIONAL,N
8693,FOOD,PRODUCE,NATIONAL,N
8694,FOOD,PRODUCE,NATIONAL,N
8696,FOOD,PRODUCE,NATIONAL,N
8698,FOOD,PRODUCE,NATIONAL,N
8699,FOOD,PRODUCE,NATIONAL,N
8700,FOOD,PRODUCE,NATIONAL,N
8701,FOOD,PRODUCE,NATIONAL,N
8708,FOOD,PRODUCE,NATIONAL,N
8713,FOOD,PRODUCE,NATIONAL,N
8715,FOOD,PRODUCE,NATIONAL,N
8716,FOOD,PRODUCE,NATIONAL,N
8722,FOOD,PRODUCE,NATIONAL,N
8723,FOOD,PRODUCE,NATIONAL,N
8729,FOOD,PRODUCE,NATIONAL,N
8736,FOOD,PRODUCE,NATIONAL,N
8737,FOOD,PRODUCE,NATIONAL,N
8739,FOOD,PRODUCE,NATIONAL,N
8748,FOOD,PRODUCE,NATIONAL,N
8781,FOOD,PRODUCE,NATIONAL,N
8784,FOOD,PRODUCE,NATIONAL,N
8786,FOOD,PRODUCE,NATIONAL,N
8789,FOOD,PRODUCE,NATIONAL,N
